dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,pct_students_tested
08X367,,,,,0.85
08X376,,,,,
08X377,9.0,367.0,369.0,376.0,
08X405,415.0,412.0,436.0,393.0,0.92
08X408,6.0,402.0,373.0,413.0,0.85
08X432,,,,,0.78
08X452,39.0,369.0,371.0,365.0,
08X507,,,,,0.85
08X519,68.0,373.0,370.0,356.0,
08X530,54.0,373.0,381.0,377.0,0.92
08X537,,,,,0.78
08X540,16.0,366.0,400.0,368.0,0.78
08X560,9.0,404.0,368.0,399.0,0.78
08X650,78.0,377.0,359.0,376.0,0.78
09X227,39.0,324.0,376.0,349.0,0.92
09X231,78.0,373.0,387.0,374.0,0.78
09X239,33.0,372.0,355.0,357.0,0.85
09X241,80.0,411.0,464.0,415.0,0.85
09X250,50.0,393.0,394.0,382.0,0.78
09X252,67.0,369.0,367.0,356.0,0.85
09X260,81.0,459.0,480.0,457.0,0.85
09X263,74.0,356.0,363.0,356.0,0.92
09X276,30.0,361.0,353.0,367.0,0.85
09X297,38.0,386.0,386.0,376.0,0.92
09X324,,,,,0.85
09X329,51.0,382.0,365.0,391.0,0.85
09X365,54.0,315.0,339.0,297.0,
09X403,49.0,314.0,312.0,339.0,0.78
09X404,32.0,363.0,360.0,351.0,0.85
09X412,34.0,356.0,376.0,351.0,0.85
09X413,64.0,400.0,419.0,402.0,0.92
09X414,35.0,379.0,364.0,379.0,0.85
09X505,80.0,404.0,418.0,402.0,
09X517,50.0,368.0,384.0,369.0,0.85
09X525,114.0,384.0,394.0,388.0,0.92
09X543,27.0,353.0,315.0,371.0,0.85
10X141,113.0,438.0,455.0,440.0,0.78
10X213,86.0,373.0,412.0,365.0,
10X225,59.0,405.0,,394.0,0.78
10X237,79.0,382.0,393.0,382.0,0.78
10X243,26.0,382.0,406.0,370.0,0.92
10X268,52.0,304.0,356.0,302.0,0.92
10X284,54.0,402.0,395.0,385.0,
10X319,,,,,0.92
10X342,49.0,300.0,333.0,301.0,0.78
10X368,111.0,390.0,408.0,383.0,0.85
10X374,61.0,392.0,401.0,387.0,
10X397,38.0,343.0,356.0,330.0,0.78
10X433,57.0,370.0,371.0,365.0,0.85
10X434,51.0,404.0,418.0,400.0,0.78
10X437,48.0,355.0,350.0,372.0,0.85
10X438,63.0,367.0,385.0,367.0,0.78
10X439,65.0,366.0,364.0,352.0,
10X440,443.0,419.0,426.0,410.0,0.85
10X442,52.0,423.0,420.0,427.0,
10X445,731.0,632.0,688.0,649.0,
10X475,109.0,351.0,362.0,339.0,0.78
10X477,99.0,414.0,435.0,414.0,0.78
10X478,,,,,0.85
10X546,68.0,348.0,362.0,354.0,0.78
10X549,55.0,372.0,379.0,364.0,
10X660,73.0,362.0,382.0,356.0,0.85
10X667,10.0,350.0,356.0,317.0,
10X696,92.0,636.0,648.0,636.0,
11X249,74.0,370.0,381.0,382.0,
11X253,46.0,400.0,357.0,390.0,
11X265,81.0,377.0,391.0,367.0,0.78
11X270,56.0,386.0,394.0,361.0,0.85
11X275,72.0,381.0,376.0,354.0,
11X288,97.0,444.0,471.0,433.0,0.92
11X290,69.0,387.0,365.0,383.0,0.78
11X299,60.0,387.0,391.0,391.0,0.92
11X415,121.0,367.0,361.0,353.0,
11X417,,,,,0.92
11X418,48.0,419.0,433.0,416.0,0.78
11X455,189.0,386.0,397.0,368.0,0.78
11X456,,,,,
11X513,72.0,332.0,381.0,335.0,0.78
11X514,48.0,377.0,372.0,363.0,0.85
11X541,57.0,372.0,382.0,375.0,0.85
11X542,76.0,431.0,438.0,419.0,
11X544,55.0,383.0,378.0,365.0,0.92
11X545,46.0,388.0,393.0,382.0,
12X245,25.0,348.0,344.0,354.0,0.85
12X248,49.0,347.0,367.0,341.0,0.85
12X251,57.0,381.0,381.0,360.0,
12X262,30.0,361.0,353.0,360.0,0.85
12X267,36.0,408.0,432.0,411.0,0.85
12X271,46.0,366.0,378.0,358.0,
12X278,34.0,390.0,401.0,364.0,0.85
12X388,30.0,321.0,351.0,298.0,0.85
12X428,,,,,0.92
12X446,14.0,380.0,372.0,349.0,0.78
12X478,,,,,0.85
12X479,,,,,0.85
12X480,16.0,398.0,385.0,398.0,
12X550,42.0,304.0,323.0,312.0,0.85
12X682,72.0,342.0,346.0,341.0,
12X684,66.0,378.0,374.0,362.0,
12X690,31.0,375.0,387.0,376.0,0.92
12X692,43.0,332.0,357.0,349.0,
13K265,29.0,352.0,349.0,373.0,
13K336,9.0,439.0,374.0,418.0,0.78
13K350,52.0,360.0,364.0,356.0,0.78
